Date,Forecast,Lower_Bound,Upper_Bound
2024-01-01,20751.235392258954,19426.578194573973,22198.14866776745
2024-01-02,12637.045727022502,11332.055407063814,13994.670387725131
2024-01-03,11633.666009841807,10284.191931840745,12935.304305913078
2024-01-04,11221.110372688136,9823.234955442602,12598.1527133734
2024-01-05,11234.644469511424,9991.806066887091,12555.579245450514
2024-01-06,15905.376782589872,14516.528125192337,17223.91527817335
2024-01-07,16016.28252964575,14773.755173332776,17388.67053523679
2024-01-08,11318.213123592213,9954.388449100894,12623.176814843011
2024-01-09,11210.042232122294,9827.88820567881,12511.55661056994
2024-01-10,10919.602813370111,9572.778712111965,12202.57349589822
2024-01-11,10929.069242477046,9561.959993026265,12206.565542931394
2024-01-12,11090.693822602907,9836.127247384222,12406.881964862978
2024-01-13,15741.299202228702,14468.350647238845,17114.818581725372
2024-01-14,15769.66764618559,14439.229140301804,17136.46603046949
2024-01-15,11410.438673651202,10015.366652037375,12730.457191326204
2024-01-16,11016.11659734417,9675.183992326663,12335.912127182984
2024-01-17,10847.558328478928,9574.74954044663,12194.071313257555
2024-01-18,10911.031909469346,9587.722528950644,12202.431862657519
2024-01-19,10990.836448948869,9694.998553668838,12358.36958515872
2024-01-20,15472.013907928584,14141.808926169106,16747.017268033327
2024-01-21,15348.78818129913,14088.66850781496,16761.51626057501
2024-01-22,10655.871115742439,9372.003585105174,11985.172108924855
2024-01-23,11015.908639479965,9655.400966254067,12376.387960440858
2024-01-24,11609.53025213258,10339.84603844865,12959.36627828698
2024-01-25,12758.120180257207,11403.62103842053,14085.857900644418
2024-01-26,14090.672945506716,12756.79560452889,15452.405117488126
2024-01-27,19757.06219783716,18477.358852902515,21054.17996099295
2024-01-28,20406.57039040279,19093.293230217525,21675.86939750398
2024-01-29,15763.696762527466,14470.768497371268,17130.362961904615
2024-01-30,15299.860750073009,13907.365720930587,16690.552162032167
